age,education,eddummy1,eddummy2,eddummy3,eddummy4,earnings,d1,hours
46,16,0,0,0,1,36175,1,2350
33,14,0,0,1,0,8000,1,679
43,16,0,0,0,1,19000,1,1048
34,14,0,0,1,0,40000,1,1950
39,14,0,0,1,0,12000,1,1878
45,16,0,0,0,1,9468,1,1936
47,12,0,1,0,0,25000,1,2450
40,,,,,,,,
37,,,,,,,,
43,17,0,0,0,1,65000,1,1756
39,16,0,0,0,1,46000,1,2500
48,10,1,0,0,0,33000,1,2040
35,12,0,1,0,0,10000,1,1040
45,14,0,0,1,0,74000,1,1368
30,12,0,1,0,0,10760,1,2520
44,12,0,1,0,0,45500,1,2228
39,11,1,0,0,0,0,0,0
30,12,0,1,0,0,18790,1,1960
44,12,0,1,0,0,37859,1,3650
40,14,0,0,1,0,34000,1,2000
36,10,1,0,0,0,9100,1,2224
42,17,0,0,0,1,45000,1,2133
30,12,0,1,0,0,26900,1,2279
43,17,0,0,0,1,33000,1,2160
32,16,0,0,0,1,39000,1,2272
30,16,0,0,0,1,86000,1,2527
37,14,0,0,1,0,41000,1,2050
44,17,0,0,0,1,41600,1,2172
41,16,0,0,0,1,21007,1,2062
37,14,0,0,1,0,1500,1,1840
33,12,0,1,0,0,20000,1,1984
44,,,,,,,,
34,8,1,0,0,0,11904,1,1392
36,12,0,1,0,0,37000,1,3640
34,12,0,1,0,0,14000,1,1744
44,7,1,0,0,0,35000,1,2100
43,16,0,0,0,1,42000,1,1974
43,17,0,0,0,1,98000,1,2430
34,,,,,,,,
39,16,0,0,0,1,68000,1,1805
43,17,0,0,0,1,73000,1,2233
44,17,0,0,0,1,65000,1,2430
46,12,0,1,0,0,48000,1,2640
38,12,0,1,0,0,25000,1,1410
44,15,0,0,1,0,40000,1,3000
45,17,0,0,0,1,114000,1,3000
31,12,0,1,0,0,17010,1,1890
40,15,0,0,1,0,29381,1,2070
37,12,0,1,0,0,29079,1,1860
39,15,0,0,1,0,60000,1,2475
45,16,0,0,0,1,58000,1,1960
49,16,0,0,0,1,43000,1,1645
38,13,0,0,1,0,16771,1,2541
36,,,,,,,,
39,17,0,0,0,1,12000,1,1080
38,16,0,0,0,1,67500,1,2360
34,16,0,0,0,1,35359,1,2333
33,16,0,0,0,1,50000,1,2060
49,14,0,0,1,0,13719,1,2590
37,12,0,1,0,0,9542,1,970
45,17,0,0,0,1,31660,1,3320
32,16,0,0,0,1,35132,1,2340
46,12,0,1,0,0,12238,1,1476
48,13,0,0,1,0,43300,1,1950
32,17,0,0,0,1,19500,1,1516
30,16,0,0,0,1,6000,1,1470
32,12,0,1,0,0,26000,1,1600
39,11,1,0,0,0,16800,1,1912
39,13,0,0,1,0,18310,1,3036
33,12,0,1,0,0,24000,1,2295
47,12,0,1,0,0,49000,1,2275
34,10,1,0,0,0,13877,1,2280
36,16,0,0,0,1,43866,1,2340
44,14,0,0,1,0,2592,1,492
46,12,0,1,0,0,6046,1,3514
44,13,0,0,1,0,60000,1,3430
30,16,0,0,0,1,3750,1,650
34,10,1,0,0,0,23150,1,1901
32,12,0,1,0,0,22000,1,2279
34,12,0,1,0,0,0,0,0
42,16,0,0,0,1,35000,1,2268
30,16,0,0,0,1,8175,1,1350
31,16,0,0,0,1,40000,1,2100
48,14,0,0,1,0,21063,1,3125
36,16,0,0,0,1,49500,1,3000
38,14,0,0,1,0,44000,1,2282
35,12,0,1,0,0,25350,1,2778
33,12,0,1,0,0,30000,1,2058
49,12,0,1,0,0,0,0,0
37,12,0,1,0,0,29000,1,1904
41,16,0,0,0,1,61000,1,2160
43,14,0,0,1,0,0,0,0
41,13,0,0,1,0,31020,1,3060
39,16,0,0,0,1,30500,1,2410
35,12,0,1,0,0,34000,1,2250
31,12,0,1,0,0,23000,1,3010
46,10,1,0,0,0,5000,1,1524
41,12,0,1,0,0,20585,1,2010
39,12,0,1,0,0,23150,1,2016
46,16,0,0,0,1,39250,1,2178
38,17,0,0,0,1,13540,1,2160
47,11,1,0,0,0,32000,1,2750
38,12,0,1,0,0,12000,1,72
34,12,0,1,0,0,30000,1,2624
30,16,0,0,0,1,14510,1,1851
33,12,0,1,0,0,43000,1,2443
46,16,0,0,0,1,60000,1,1974
43,17,0,0,0,1,44493,1,2024
38,16,0,0,0,1,100000,1,2695
47,16,0,0,0,1,49000,1,2170
44,16,0,0,0,1,21300,1,1924
44,16,0,0,0,1,42000,1,2450
47,17,0,0,0,1,38000,1,1626
42,8,1,0,0,0,2240,1,672
34,11,1,0,0,0,2240,1,672
37,11,1,0,0,0,0,0,0
31,9,1,0,0,0,30000,1,3680
45,15,0,0,1,0,14302,1,2604
39,16,0,0,0,1,40000,1,1920
43,15,0,0,1,0,15800,1,2402
35,12,0,1,0,0,6247,1,1720
43,16,0,0,0,1,8020,1,3570
48,16,0,0,0,1,30500,1,2520
50,,,,,,,,
42,13,0,0,1,0,14500,1,3050
48,12,0,1,0,0,20500,1,2277
47,12,0,1,0,0,17685,1,3570
34,17,0,0,0,1,55000,1,2250
43,12,0,1,0,0,20000,1,2447
39,11,1,0,0,0,55456,1,2096
43,16,0,0,0,1,51000,1,2780
46,12,0,1,0,0,20000,1,1922
42,9,1,0,0,0,0,0,0
38,10,1,0,0,0,18782,1,2080
39,11,1,0,0,0,4000,1,972
36,17,0,0,0,1,32181,1,2232
36,14,0,0,1,0,20600,1,2667
35,11,1,0,0,0,24650,1,2100
49,12,0,1,0,0,29500,1,2050
47,14,0,0,1,0,31000,1,1960
39,12,0,1,0,0,17440,1,1880
36,12,0,1,0,0,28680,1,2000
41,12,0,1,0,0,18000,1,1560
50,12,0,1,0,0,27000,1,1528
46,12,0,1,0,0,18750,1,2500
46,15,0,0,1,0,66080,1,2407
30,14,0,0,1,0,0,0,2550
49,12,0,1,0,0,45000,1,1916
43,16,0,0,0,1,61000,1,2350
45,14,0,0,1,0,39000,1,1750
41,17,0,0,0,1,42000,1,2772
43,14,0,0,1,0,7350,1,748
35,14,0,0,1,0,53000,1,2294
32,16,0,0,0,1,39000,1,2433
47,16,0,0,0,1,52000,1,2450
44,12,0,1,0,0,6000,1,2776
44,14,0,0,1,0,43866,1,2340
43,12,0,1,0,0,7410,1,3380
50,14,0,0,1,0,18000,1,3000
50,17,0,0,0,1,44000,1,2080
46,16,0,0,0,1,17000,1,2080
33,13,0,0,1,0,95000,1,1928
34,14,0,0,1,0,45000,1,2530
31,13,0,0,1,0,41000,1,3391
39,11,1,0,0,0,26638,1,3276
35,12,0,1,0,0,37000,1,2530
34,11,1,0,0,0,18082,1,4080
46,12,0,1,0,0,15840,1,1986
33,9,1,0,0,0,25000,1,2040
45,11,1,0,0,0,20500,1,1960
30,8,1,0,0,0,19800,1,2262
49,12,0,1,0,0,45000,1,2232
32,12,0,1,0,0,26000,1,2490
32,17,0,0,0,1,26000,1,3900
42,13,0,0,1,0,20180,1,1974
41,12,0,1,0,0,27000,1,1960
34,12,0,1,0,0,8000,1,1890
36,15,0,0,1,0,32000,1,3744
39,17,0,0,0,1,92000,1,2300
34,13,0,0,1,0,51330,1,1903
36,14,0,0,1,0,29755,1,1948
32,12,0,1,0,0,2459,1,918
42,9,1,0,0,0,32000,1,2450
41,17,0,0,0,1,65000,1,1961
43,14,0,0,1,0,26536,1,3072
31,16,0,0,0,1,27000,1,2000
42,13,0,0,1,0,16583,1,1285
30,16,0,0,0,1,45500,1,2050
45,16,0,0,0,1,86100,1,2640
43,17,0,0,0,1,73000,1,1964
37,17,0,0,0,1,108300,1,2717
42,17,0,0,0,1,355645,1,1756
49,2,1,0,0,0,0,0,0
42,12,0,1,0,0,0,0,0
43,12,0,1,0,0,39850,1,2706
45,15,0,0,1,0,72000,1,2390
39,12,0,1,0,0,18139,1,2156
42,14,0,0,1,0,31400,1,2802
41,12,0,1,0,0,32500,1,2250
35,12,0,1,0,0,42500,1,2000
44,13,0,0,1,0,31000,1,1960
42,16,0,0,0,1,63000,1,2400
38,12,0,1,0,0,2000,1,240
38,14,0,0,1,0,45000,1,2227
32,14,0,0,1,0,40000,1,2020
33,16,0,0,0,1,21000,1,2000
38,14,0,0,1,0,3724,1,683
31,17,0,0,0,1,61200,1,2450
36,14,0,0,1,0,95000,1,2904
35,12,0,1,0,0,27377,1,1548
32,13,0,0,1,0,54500,1,3012
42,15,0,0,1,0,58752,1,2189
30,12,0,1,0,0,840,1,468
40,12,0,1,0,0,29680,1,2080
45,12,0,1,0,0,27587,1,2174
36,12,0,1,0,0,30000,1,1991
50,16,0,0,0,1,20800,1,2520
39,15,0,0,1,0,54500,1,2370
46,17,0,0,0,1,88009,1,2590
34,17,0,0,0,1,29000,1,2000
36,16,0,0,0,1,30000,1,1528
42,13,0,0,1,0,6849,1,759
50,12,0,1,0,0,34000,1,1480
50,12,0,1,0,0,20076,1,1912
46,11,1,0,0,0,0,0,0
43,12,0,1,0,0,34500,1,2080
36,12,0,1,0,0,0,0,0
34,12,0,1,0,0,23000,1,1984
39,16,0,0,0,1,35200,1,2550
36,12,0,1,0,0,39000,1,2750
37,12,0,1,0,0,5000,1,810
35,12,0,1,0,0,47000,1,3570
40,15,0,0,1,0,27700,1,3320
36,16,0,0,0,1,35000,1,1960
46,12,0,1,0,0,17500,1,2080
41,13,0,0,1,0,46319,1,1982
35,13,0,0,1,0,37180,1,2256
48,14,0,0,1,0,51000,1,2205
35,16,0,0,0,1,56000,1,2600
32,14,0,0,1,0,8000,1,1340
31,12,0,1,0,0,29000,1,4000
36,13,0,0,1,0,45500,1,3465
36,16,0,0,0,1,14400,1,2805
36,16,0,0,0,1,55000,1,2500
36,14,0,0,1,0,33000,1,1956
35,14,0,0,1,0,59600,1,1860
48,10,1,0,0,0,34000,1,2241
38,12,0,1,0,0,33000,1,2800
31,15,0,0,1,0,30000,1,3120
38,14,0,0,1,0,35100,1,2020
40,14,0,0,1,0,36500,1,1980
39,13,0,0,1,0,34000,1,2043
34,15,0,0,1,0,60000,1,2500
33,12,0,1,0,0,44062,1,2802
38,16,0,0,0,1,49500,1,1970
49,16,0,0,0,1,18000,1,1900
44,16,0,0,0,1,200,1,2471
49,12,0,1,0,0,50731,1,2665
31,17,0,0,0,1,24000,1,1496
35,12,0,1,0,0,36000,1,1800
49,16,0,0,0,1,145000,1,1624
48,12,0,1,0,0,10391,1,2600
31,8,1,0,0,0,9000,1,2000
48,10,1,0,0,0,12000,1,2376
44,8,1,0,0,0,17821,1,1399
49,12,0,1,0,0,35700,1,2102
30,14,0,0,1,0,11500,1,2000
33,15,0,0,1,0,13730,1,2460
32,14,0,0,1,0,30800,1,1980
31,12,0,1,0,0,17000,1,2056
33,12,0,1,0,0,55000,1,2646
33,14,0,0,1,0,56000,1,3568
41,9,1,0,0,0,16040,1,2080
48,12,0,1,0,0,36500,1,2160
37,12,0,1,0,0,11196,1,2392
32,12,0,1,0,0,12800,1,2600
33,12,0,1,0,0,30000,1,2020
33,17,0,0,0,1,18000,1,2132
48,14,0,0,1,0,6300,1,2990
46,13,0,0,1,0,12000,1,2000
43,17,0,0,0,1,40000,1,1984
32,17,0,0,0,1,38000,1,2470
30,12,0,1,0,0,5003,1,3556
31,14,0,0,1,0,8000,1,1290
36,11,1,0,0,0,0,0,0
42,11,1,0,0,0,14080,1,2356
42,12,0,1,0,0,26000,1,2076
32,12,0,1,0,0,24945,1,2014
37,12,0,1,0,0,30796,1,2700
36,15,0,0,1,0,53000,1,2450
36,12,0,1,0,0,3000,1,3640
37,11,1,0,0,0,39000,1,3036
35,11,1,0,0,0,26300,1,2024
31,12,0,1,0,0,28000,1,2450
45,16,0,0,0,1,21000,1,3672
48,17,0,0,0,1,61500,1,3000
48,14,0,0,1,0,40000,1,2160
41,17,0,0,0,1,12000,1,2450
46,12,0,1,0,0,27300,1,2250
37,16,0,0,0,1,62936,1,1872
40,12,0,1,0,0,18000,1,2550
35,12,0,1,0,0,32000,1,2632
49,12,0,1,0,0,33000,1,2284
30,12,0,1,0,0,25000,1,2040
34,14,0,0,1,0,26000,1,2470
33,16,0,0,0,1,22500,1,1185
30,16,0,0,0,1,53400,1,2112
31,12,0,1,0,0,20000,1,775
41,12,0,1,0,0,27340,1,2500
38,16,0,0,0,1,29963,1,2450
32,16,0,0,0,1,163000,1,3520
50,12,0,1,0,0,33000,1,1840
45,17,0,0,0,1,73850,1,2700
30,12,0,1,0,0,20800,1,2832
35,12,0,1,0,0,28000,1,2250
33,13,0,0,1,0,42000,1,2190
35,13,0,0,1,0,46000,1,2500
48,14,0,0,1,0,67500,1,2000
41,16,0,0,0,1,85000,1,1920
43,17,0,0,0,1,60000,1,3430
32,12,0,1,0,0,20000,1,2016
49,16,0,0,0,1,61000,1,1880
39,16,0,0,0,1,62000,1,3000
35,13,0,0,1,0,13000,1,1242
47,10,1,0,0,0,45000,1,2016
48,,,,,,,,
31,10,1,0,0,0,25500,1,2424
31,16,0,0,0,1,40000,1,2450
32,12,0,1,0,0,0,0,0
45,13,0,0,1,0,35000,1,2025
36,16,0,0,0,1,45000,1,2205
42,16,0,0,0,1,28000,1,190
49,16,0,0,0,1,0,0,0
43,14,0,0,1,0,28000,1,2410
46,17,0,0,0,1,85000,1,2496
47,12,0,1,0,0,34000,1,2805
32,12,0,1,0,0,1200,1,80
43,14,0,0,1,0,31754,1,1932
39,16,0,0,0,1,55000,1,1635
34,16,0,0,0,1,33000,1,1750
30,12,0,1,0,0,24700,1,2772
34,9,1,0,0,0,12500,1,783
38,10,1,0,0,0,5900,1,0
39,14,0,0,1,0,38000,1,2480
46,17,0,0,0,1,65000,1,2522
45,14,0,0,1,0,35000,1,2016
48,16,0,0,0,1,60000,1,2450
40,16,0,0,0,1,8603,1,2205
38,17,0,0,0,1,69000,1,2094
34,17,0,0,0,1,44000,1,1896
36,16,0,0,0,1,45650,1,1916
43,16,0,0,0,1,68000,1,1920
45,17,0,0,0,1,46865,1,1860
49,17,0,0,0,1,85000,1,2115
47,12,0,1,0,0,46000,1,2530
50,12,0,1,0,0,32000,1,1880
38,14,0,0,1,0,19100,1,2120
31,12,0,1,0,0,17400,1,1183
31,14,0,0,1,0,30000,1,2205
37,12,0,1,0,0,24000,1,2000
36,12,0,1,0,0,27000,1,2044
32,12,0,1,0,0,28000,1,2844
48,14,0,0,1,0,50400,1,2180
34,14,0,0,1,0,37200,1,2400
30,16,0,0,0,1,52000,1,2405
31,12,0,1,0,0,7000,1,1032
47,12,0,1,0,0,15000,1,2475
44,9,1,0,0,0,14000,1,2350
44,12,0,1,0,0,14300,1,1920
38,9,1,0,0,0,22000,1,2040
38,8,1,0,0,0,7800,1,2600
47,12,0,1,0,0,16100,1,1638
37,12,0,1,0,0,15000,1,3199
30,14,0,0,1,0,16875,1,3750
45,12,0,1,0,0,0,0,0
47,12,0,1,0,0,30000,1,1800
33,,,,,,,,
45,15,0,0,1,0,33000,1,2295
43,17,0,0,0,1,87500,1,2179
40,16,0,0,0,1,62000,1,1950
32,14,0,0,1,0,20600,1,2321
37,17,0,0,0,1,9000,1,2172
37,16,0,0,0,1,3290,1,1580
33,12,0,1,0,0,41000,1,2160
41,16,0,0,0,1,29500,1,2328
40,14,0,0,1,0,49000,1,1920
36,12,0,1,0,0,97000,1,1911
38,15,0,0,1,0,22617,1,2820
37,14,0,0,1,0,40000,1,1470
34,14,0,0,1,0,34000,1,2760
31,14,0,0,1,0,12730,1,2460
31,12,0,1,0,0,13330,1,2070
33,12,0,1,0,0,21000,1,1512
41,12,0,1,0,0,23000,1,2750
42,,,,,,,,
48,12,0,1,0,0,65000,1,2450
47,14,0,0,1,0,23000,1,1066
39,12,0,1,0,0,30000,1,1960
50,17,0,0,0,1,140000,1,3666
38,12,0,1,0,0,12000,1,1780
35,16,0,0,0,1,47200,1,2540
40,17,0,0,0,1,75940,1,1880
42,12,0,1,0,0,32000,1,2550
45,14,0,0,1,0,29100,1,2572
49,17,0,0,0,1,70000,1,2083
36,14,0,0,1,0,23000,1,2470
46,13,0,0,1,0,30273,1,1960
31,12,0,1,0,0,36000,1,2058
32,16,0,0,0,1,50000,1,2024
49,12,0,1,0,0,16560,1,3120
47,11,1,0,0,0,29000,1,3024
41,12,0,1,0,0,0,0,3060
42,17,0,0,0,1,42000,1,2964
36,13,0,0,1,0,23773,1,2117
31,16,0,0,0,1,23000,1,1896
37,13,0,0,1,0,24800,1,2208
33,12,0,1,0,0,25000,1,2040
35,15,0,0,1,0,25000,1,2008
39,16,0,0,0,1,16250,1,2500
37,16,0,0,0,1,72000,1,2500
33,16,0,0,0,1,44700,1,2068
41,12,0,1,0,0,15934,1,1868
37,17,0,0,0,1,52000,1,2352
33,16,0,0,0,1,44000,1,2420
33,14,0,0,1,0,24000,1,2673
33,13,0,0,1,0,39100,1,2182
34,17,0,0,0,1,30000,1,1941
36,15,0,0,1,0,19215,1,3430
44,12,0,1,0,0,26000,1,1250
31,11,1,0,0,0,22000,1,2400
42,12,0,1,0,0,22114,1,2304
50,16,0,0,0,1,225026,1,3172
38,11,1,0,0,0,40000,1,2475
43,12,0,1,0,0,10000,1,2260
47,12,0,1,0,0,28000,1,2040
32,14,0,0,1,0,30500,1,2520
34,16,0,0,0,1,75000,1,1984
38,12,0,1,0,0,26560,1,3120
36,13,0,0,1,0,21000,1,2080
31,12,0,1,0,0,7513,1,832
44,12,0,1,0,0,50000,1,2340
46,15,0,0,1,0,47850,1,1900
44,16,0,0,0,1,93500,1,2187
44,16,0,0,0,1,19419,1,3685
45,16,0,0,0,1,16250,1,2500
44,17,0,0,0,1,80000,1,2365
43,12,0,1,0,0,45000,1,2450
48,9,1,0,0,0,14159,1,1568
35,17,0,0,0,1,72000,1,2205
44,17,0,0,0,1,315000,1,2838
36,17,0,0,0,1,90000,1,2160
45,12,0,1,0,0,37385,1,1768
36,10,1,0,0,0,9000,1,1176
39,12,0,1,0,0,55000,1,2695
44,16,0,0,0,1,67000,1,1896
31,17,0,0,0,1,29000,1,2000
32,12,0,1,0,0,31000,1,2277
31,15,0,0,1,0,10000,1,1113
44,16,0,0,0,1,9600,1,1161
47,8,1,0,0,0,48000,1,3185
31,12,0,1,0,0,17100,1,1976
34,14,0,0,1,0,13000,1,1500
50,16,0,0,0,1,32000,1,2470
49,17,0,0,0,1,70093,1,2956
45,13,0,0,1,0,2730,1,2460
50,12,0,1,0,0,23534,1,1330
33,11,1,0,0,0,24000,1,1064
36,12,0,1,0,0,55000,1,2026
33,14,0,0,1,0,0,0,0
36,16,0,0,0,1,76123,1,2470
41,13,0,0,1,0,22840,1,1680
41,16,0,0,0,1,31275,1,2550
47,,,,,,,,
40,12,0,1,0,0,30000,1,1920
40,14,0,0,1,0,83000,1,2016
39,15,0,0,1,0,35000,1,1873
31,12,0,1,0,0,35000,1,2050
43,10,1,0,0,0,8000,1,3120
37,,,,,,,,
31,14,0,0,1,0,66000,1,2640
32,,,,,,,,
31,14,0,0,1,0,12290,1,2142
35,12,0,1,0,0,0,0,0
44,16,0,0,0,1,38000,1,1752
48,17,0,0,0,1,29082,1,1344
45,15,0,0,1,0,34000,1,1823
43,14,0,0,1,0,30000,1,2050
37,13,0,0,1,0,31000,1,2005
42,14,0,0,1,0,22500,1,2800
38,17,0,0,0,1,120000,1,3211
32,12,0,1,0,0,21000,1,2244
31,12,0,1,0,0,5842,1,647
39,12,0,1,0,0,0,0,0
40,11,1,0,0,0,14000,1,2088
40,14,0,0,1,0,35200,1,2250
42,17,0,0,0,1,999999,1,2430
42,16,0,0,0,1,69000,1,2178
50,17,0,0,0,1,56000,1,3000
48,17,0,0,0,1,46000,1,4230
35,17,0,0,0,1,47000,1,2094
43,16,0,0,0,1,42000,1,1760
30,12,0,1,0,0,25528,1,2304
42,12,0,1,0,0,50000,1,2000
48,16,0,0,0,1,83000,1,2940
32,12,0,1,0,0,7000,1,1728
35,12,0,1,0,0,28000,1,2230
32,10,1,0,0,0,35000,1,2500
36,16,0,0,0,1,41000,1,2450
34,17,0,0,0,1,7372,1,1820
34,16,0,0,0,1,64500,1,1225
47,16,0,0,0,1,68000,1,2196
36,12,0,1,0,0,19000,1,3630
41,16,0,0,0,1,39000,1,2203
38,9,1,0,0,0,6030,1,985
33,12,0,1,0,0,18000,1,1903
36,13,0,0,1,0,0,0,0
38,14,0,0,1,0,13308,1,3024
31,14,0,0,1,0,35000,1,2396
46,12,0,1,0,0,53000,1,1336
39,16,0,0,0,1,73790,1,2160
43,14,0,0,1,0,32000,1,1888
43,14,0,0,1,0,44000,1,2400
30,15,0,0,1,0,17500,1,2750
39,14,0,0,1,0,60100,1,2739
50,14,0,0,1,0,62000,1,2750
36,16,0,0,0,1,59000,1,2805
34,16,0,0,0,1,58000,1,2160
30,16,0,0,0,1,36000,1,3120
30,16,0,0,0,1,47500,1,2058
42,12,0,1,0,0,41000,1,2651
35,12,0,1,0,0,4630,1,578
39,9,1,0,0,0,12000,1,2040
40,14,0,0,1,0,29704,1,1980
40,14,0,0,1,0,29700,1,1270
46,13,0,0,1,0,7301,1,980
35,12,0,1,0,0,21500,1,2000
42,12,0,1,0,0,13500,1,2278
31,14,0,0,1,0,30000,1,2860
34,16,0,0,0,1,24800,1,2205
45,15,0,0,1,0,36500,1,2100
40,12,0,1,0,0,33000,1,3241
33,17,0,0,0,1,47742,1,2335
32,16,0,0,0,1,47000,1,2706
32,,,,,,,,
45,12,0,1,0,0,38800,1,2160
49,12,0,1,0,0,12410,1,4080
32,12,0,1,0,0,12000,1,2754
45,13,0,0,1,0,27500,1,1941
32,12,0,1,0,0,16000,1,2040
45,16,0,0,0,1,3400,1,2040
46,17,0,0,0,1,50000,1,2107
31,11,1,0,0,0,40425,1,2965
39,12,0,1,0,0,23000,1,1857
45,9,1,0,0,0,25338,1,2016
34,12,0,1,0,0,47000,1,2060
32,9,1,0,0,0,21000,1,2016
40,16,0,0,0,1,96000,1,3000
32,16,0,0,0,1,95000,1,2174
30,16,0,0,0,1,10795,1,2362
44,16,0,0,0,1,15218,1,2480
40,17,0,0,0,1,82000,1,2695
45,17,0,0,0,1,54000,1,2250
46,14,0,0,1,0,52000,1,3000
41,17,0,0,0,1,20000,1,2381
50,,,,,,,,
33,16,0,0,0,1,60000,1,2232
38,13,0,0,1,0,27500,1,900
37,12,0,1,0,0,15369,1,2500
41,16,0,0,0,1,32000,1,1737
39,16,0,0,0,1,28000,1,1602
37,15,0,0,1,0,31500,1,2295
32,16,0,0,0,1,35900,1,2025
30,16,0,0,0,1,26000,1,1520
40,16,0,0,0,1,10257,1,3450
34,12,0,1,0,0,30000,1,3000
32,12,0,1,0,0,21000,1,1560
37,10,1,0,0,0,7000,1,1568
40,12,0,1,0,0,0,0,0
38,12,0,1,0,0,16000,1,2026
39,12,0,1,0,0,32000,1,1995
48,8,1,0,0,0,9600,1,2000
36,15,0,0,1,0,71008,1,4530
41,9,1,0,0,0,0,0,0
